Province_State,Confirmed,Deaths,Recovered,date
Rhode Island,5090,155,267,20-Apr
South Carolina,4446,123,2063,20-Apr
South Dakota,1685,7,709,20-Apr
Tennessee,7238,152,3575,20-Apr
Texas,19751,507,5706,20-Apr
Utah,3213,28,776,20-Apr
Vermont,816,38,15,20-Apr
Virgin Islands,53,3,48,20-Apr
Virginia,8990,300,1324,20-Apr
Washington,12114,643,,20-Apr
West Virginia,902,24,290,20-Apr
Wisconsin,4499,230,,20-Apr
Wyoming,317,2,233,20-Apr
Recovered,0,0,72329,20-Apr
Alabama,5317,183,,21-Apr
Alaska,329,9,168,21-Apr
American Samoa,0,0,,21-Apr
Arizona,5256,208,1155,21-Apr
Arkansas,1990,42,809,21-Apr
California,35465,1282,,21-Apr
Colorado,10473,483,,21-Apr
Connecticut,20360,1423,,21-Apr
Delaware,2931,82,565,21-Apr
Diamond Princess,49,0,0,21-Apr
District of Columbia,3098,112,636,21-Apr
Florida,27869,867,,21-Apr
Georgia,19881,798,,21-Apr
Grand Princess,103,0,0,21-Apr
Guam,136,5,114,21-Apr
Hawaii,586,10,423,21-Apr
Idaho,1736,48,660,21-Apr
Illinois,33059,1468,,21-Apr
Indiana,12097,635,,21-Apr
Iowa,3641,83,1293,21-Apr
Kansas,2164,109,,21-Apr
Kentucky,3204,171,1174,21-Apr
Louisiana,24854,1405,,21-Apr
Maine,888,36,443,21-Apr
Maryland,14193,652,930,21-Apr
Massachusetts,41199,1961,,21-Apr
Michigan,32667,2575,3237,21-Apr
Minnesota,2567,160,1254,21-Apr
Mississippi,4716,183,,21-Apr
Missouri,6066,224,,21-Apr
Montana,437,12,273,21-Apr
Nebraska,1685,33,,21-Apr
Nevada,3937,163,,21-Apr
New Hampshire,1490,42,521,21-Apr
New Jersey,92387,4753,,21-Apr
New Mexico,1971,58,501,21-Apr
New York,258361,19104,23887,21-Apr
North Carolina,7134,245,,21-Apr
North Dakota,644,13,214,21-Apr
Northern Mariana Islands,14,2,11,21-Apr
Ohio,13725,557,,21-Apr
Oklahoma,2807,164,1702,21-Apr
Oregon,2004,78,,21-Apr
Pennsylvania,35249,1614,,21-Apr
Puerto Rico,1298,64,,21-Apr
Rhode Island,5500,171,315,21-Apr
South Carolina,4439,124,2063,21-Apr
South Dakota,1755,8,824,21-Apr
Tennessee,7394,157,3828,21-Apr
Texas,20574,533,6486,21-Apr
Utah,3297,32,888,21-Apr
Vermont,818,40,1710,21-Apr
Virgin Islands,53,3,48,21-Apr
Virginia,9630,324,1418,21-Apr
Washington,12392,664,,21-Apr
West Virginia,908,26,330,21-Apr
Wisconsin,4625,244,,21-Apr
Wyoming,443,2,237,21-Apr
Recovered,0,0,75204,21-Apr
Alabama,5593,196,,22-Apr
Alaska,335,9,196,22-Apr
American Samoa,0,0,,22-Apr
Arizona,5473,231,1265,22-Apr
Arkansas,2276,42,863,22-Apr
California,37344,1421,,22-Apr
Colorado,10891,506,,22-Apr
Connecticut,22469,1544,,22-Apr
Delaware,3200,89,599,22-Apr
Diamond Princess,49,0,0,22-Apr
District of Columbia,3206,127,645,22-Apr
Florida,28309,893,,22-Apr
Georgia,21214,848,,22-Apr
Grand Princess,103,0,0,22-Apr
Guam,136,5,119,22-Apr
Hawaii,592,12,437,22-Apr
Idaho,1766,51,710,22-Apr
Illinois,35107,1565,,22-Apr
Indiana,12438,666,,22-Apr
Iowa,3748,90,1428,22-Apr
Kansas,2331,112,,22-Apr
Kentucky,3378,185,1266,22-Apr
Louisiana,25258,1473,,22-Apr
Maine,907,39,455,22-Apr
Maryland,14775,698,981,22-Apr
Massachusetts,42944,2182,,22-Apr
Michigan,33966,2813,3237,22-Apr
Minnesota,2722,179,1317,22-Apr
Mississippi,4894,193,,22-Apr
Missouri,6277,238,,22-Apr
Montana,439,14,296,22-Apr
Nebraska,1813,38,,22-Apr
Nevada,4081,172,,22-Apr
New Hampshire,1588,48,546,22-Apr
New Jersey,95914,5150,,22-Apr
New Mexico,2210,71,529,22-Apr
New York,263292,19413,23887,22-Apr
North Carolina,7495,265,,22-Apr
North Dakota,679,14,229,22-Apr
Northern Mariana Islands,14,2,11,22-Apr
Ohio,14117,610,,22-Apr
Oklahoma,2894,170,1772,22-Apr
Oregon,2059,78,,22-Apr
Pennsylvania,36082,1673,,22-Apr
Puerto Rico,1252,63,,22-Apr
Rhode Island,5841,181,315,22-Apr
South Carolina,4761,140,3317,22-Apr
South Dakota,1858,9,937,22-Apr
Tennessee,7394,157,4012,22-Apr
Texas,21321,556,7341,22-Apr
Utah,3445,32,970,22-Apr
Vermont,823,40,1710,22-Apr
Virgin Islands,54,3,48,22-Apr
Virginia,10266,349,1497,22-Apr
Washington,12596,686,,22-Apr
West Virginia,939,27,330,22-Apr
Wisconsin,4845,248,,22-Apr
Wyoming,447,6,254,22-Apr
Recovered,0,0,77366,22-Apr
Alabama,5832,202,,23-Apr
Alaska,337,9,209,23-Apr
American Samoa,0,0,,23-Apr
Arizona,5772,249,1282,23-Apr
Arkansas,2599,45,902,23-Apr
California,39561,1533,,23-Apr
Colorado,11278,552,,23-Apr
Connecticut,23100,1639,,23-Apr
Delaware,3308,92,643,23-Apr
Diamond Princess,49,0,0,23-Apr
District of Columbia,3361,139,648,23-Apr
Florida,29648,987,,23-Apr
Georgia,21883,881,,23-Apr
Grand Princess,103,3,0,23-Apr
Guam,139,5,126,23-Apr
Hawaii,596,12,444,23-Apr
Idaho,1836,54,767,23-Apr
Illinois,36937,1688,,23-Apr
Indiana,13039,706,,23-Apr
Iowa,3924,96,1492,23-Apr
Kansas,2721,113,,23-Apr
Kentucky,3479,191,1311,23-Apr
Louisiana,25739,1599,,23-Apr
Maine,937,44,485,23-Apr
Maryland,15737,748,1040,23-Apr
Massachusetts,46023,2360,,23-Apr
Michigan,35296,2977,3237,23-Apr
Minnesota,2942,200,1536,23-Apr
Mississippi,5153,201,,23-Apr
Missouri,6506,252,,23-Apr
Montana,442,14,306,23-Apr
Nebraska,2202,47,,23-Apr
Nevada,4208,195,,23-Apr
New Hampshire,1670,51,550,23-Apr
New Jersey,100025,5426,,23-Apr
New Mexico,2379,78,547,23-Apr
New York,263460,20973,23887,23-Apr
North Carolina,7820,281,,23-Apr
North Dakota,709,15,269,23-Apr
Northern Mariana Islands,14,2,11,23-Apr
Ohio,14694,656,,23-Apr
Oklahoma,3017,179,1884,23-Apr
Oregon,2127,83,,23-Apr
Pennsylvania,38379,1724,,23-Apr
Puerto Rico,1416,69,,23-Apr
Rhode Island,6256,189,342,23-Apr
South Carolina,4917,150,3317,23-Apr
South Dakota,1956,9,1064,23-Apr
Tennessee,8266,171,4193,23-Apr
Texas,22650,604,8025,23-Apr
Utah,3612,35,1050,23-Apr
Vermont,825,43,1710,23-Apr
Virgin Islands,54,3,48,23-Apr
Virginia,10998,373,1567,23-Apr
Washington,12753,711,,23-Apr
West Virginia,981,31,380,23-Apr
Wisconsin,5052,258,,23-Apr
Wyoming,453,7,275,23-Apr
Recovered,0,0,80203,23-Apr
Alabama,6026,209,,24-Apr
Alaska,339,9,208,24-Apr
American Samoa,0,0,,24-Apr
Arizona,6045,266,1313,24-Apr
Arkansas,2810,47,929,24-Apr
California,41355,1621,,24-Apr
Colorado,12256,674,,24-Apr
Connecticut,23936,1767,,24-Apr
Delaware,3442,100,703,24-Apr
Diamond Princess,49,0,0,24-Apr
District of Columbia,3528,153,651,24-Apr
Florida,30533,1046,,24-Apr
Georgia,22491,899,,24-Apr
Grand Princess,103,3,0,24-Apr
Guam,141,5,126,24-Apr
Hawaii,601,13,463,24-Apr
Idaho,1870,54,867,24-Apr
Illinois,39658,1795,,24-Apr
Indiana,13681,741,,24-Apr
Iowa,4445,107,1604,24-Apr
Kansas,2959,118,,24-Apr
Kentucky,3779,200,1341,24-Apr
Louisiana,26140,1660,14927,24-Apr
Maine,965,47,499,24-Apr
Maryland,16616,798,1108,24-Apr
Massachusetts,50969,2556,,24-Apr
Michigan,36641,3085,3237,24-Apr
Minnesota,3185,221,1594,24-Apr
Mississippi,5434,209,,24-Apr
Missouri,6788,272,,24-Apr
Montana,444,14,325,24-Apr
Nebraska,2424,50,,24-Apr
Nevada,4398,197,,24-Apr
New Hampshire,1720,53,578,24-Apr
New Jersey,102196,5683,,24-Apr
New Mexico,2521,84,614,24-Apr
New York,271590,21411,23887,24-Apr
North Carolina,8290,294,,24-Apr
North Dakota,748,15,285,24-Apr
Northern Mariana Islands,14,2,11,24-Apr
Ohio,15169,690,,24-Apr
Oklahoma,3121,188,1961,24-Apr
Oregon,2177,86,,24-Apr
Pennsylvania,40208,1747,,24-Apr
Puerto Rico,1276,77,,24-Apr
Rhode Island,6699,202,377,24-Apr
South Carolina,5070,157,3701,24-Apr
South Dakota,2040,10,1190,24-Apr
Tennessee,8728,169,4370,24-Apr
Texas,23642,624,9156,24-Apr
Utah,3782,39,1252,24-Apr
Vermont,827,44,1710,24-Apr
Virgin Islands,54,3,50,24-Apr
Virginia,11594,411,1672,24-Apr
Washington,12977,722,,24-Apr
West Virginia,1010,32,439,24-Apr
Wisconsin,5356,263,,24-Apr
Wyoming,473,7,321,24-Apr
Recovered,0,0,99079,24-Apr
Alabama,6026,209,,25-Apr
Alaska,339,9,217,25-Apr
American Samoa,0,0,,25-Apr
Arizona,6286,273,1345,25-Apr
Arkansas,2911,48,964,25-Apr
California,42368,1689,,25-Apr
Colorado,12968,684,2086,25-Apr
Connecticut,24583,1865,,25-Apr
Delaware,3576,112,809,25-Apr
Diamond Princess,49,0,0,25-Apr
District of Columbia,3699,165,652,25-Apr
Florida,30839,1055,,25-Apr
Georgia,23222,907,,25-Apr
Grand Princess,103,3,0,25-Apr
Guam,141,5,128,25-Apr
Hawaii,605,13,463,25-Apr
Idaho,1887,56,867,25-Apr
Illinois,41777,1875,,25-Apr
Indiana,14399,786,,25-Apr
Iowa,5092,112,1723,25-Apr
Kansas,3135,120,,25-Apr
Kentucky,3915,205,1341,25-Apr
Louisiana,26512,1707,14927,25-Apr
Maine,965,47,519,25-Apr
Maryland,17766,875,1165,25-Apr
Massachusetts,53348,2730,,25-Apr
Michigan,37074,3155,8342,25-Apr
Minnesota,3446,244,1654,25-Apr
Mississippi,5718,221,,25-Apr
Missouri,6935,281,,25-Apr
Montana,445,14,339,25-Apr
Nebraska,2719,50,,25-Apr
Nevada,4539,205,,25-Apr
New Hampshire,1797,53,578,25-Apr
New Jersey,105498,5914,,25-Apr
New Mexico,2660,93,614,25-Apr
New York,282143,22009,23887,25-Apr
North Carolina,8768,305,,25-Apr
North Dakota,803,16,310,25-Apr
Northern Mariana Islands,14,2,11,25-Apr
Ohio,15587,711,,25-Apr
Oklahoma,3194,194,2080,25-Apr
Oregon,2253,87,,25-Apr
Pennsylvania,41153,1793,,25-Apr
Puerto Rico,1307,83,,25-Apr
Rhode Island,7129,215,410,25-Apr
South Carolina,5253,166,3701,25-Apr
South Dakota,2147,10,1223,25-Apr
Tennessee,9189,177,4467,25-Apr
Texas,24153,638,9986,25-Apr
Utah,3948,41,1399,25-Apr
Vermont,843,46,1710,25-Apr
Virgin Islands,55,3,51,25-Apr
Virginia,12366,437,1717,25-Apr
Washington,13319,737,,25-Apr
West Virginia,1010,32,439,25-Apr
Wisconsin,5687,266,,25-Apr
Wyoming,491,7,321,25-Apr
Recovered,0,0,100372,25-Apr
Alabama,6421,219,,26-Apr
Alaska,340,9,217,26-Apr
American Samoa,0,0,,26-Apr
Arizona,6534,275,1383,26-Apr
Arkansas,3001,51,985,26-Apr
California,43558,1725,,26-Apr
Colorado,13441,688,2150,26-Apr
Connecticut,25269,1924,,26-Apr
Delaware,4034,120,911,26-Apr
Diamond Princess,49,0,0,26-Apr
District of Columbia,3841,178,657,26-Apr
Florida,31532,1075,,26-Apr
Georgia,23486,916,,26-Apr
Grand Princess,103,3,0,26-Apr
Guam,141,5,128,26-Apr
Hawaii,606,14,482,26-Apr
Idaho,1897,56,938,26-Apr
Illinois,43903,1933,,26-Apr
Indiana,15012,813,,26-Apr
Iowa,5476,118,1900,26-Apr
Kansas,3277,121,,26-Apr
Kentucky,4085,208,1501,26-Apr
Louisiana,26773,1729,14927,26-Apr
Maine,1015,50,532,26-Apr
Maryland,18581,910,1177,26-Apr
Massachusetts,54938,2899,,26-Apr
Michigan,37778,3315,8342,26-Apr
Minnesota,3602,272,1774,26-Apr
Mississippi,5911,227,,26-Apr
Missouri,7120,283,,26-Apr
Montana,448,14,339,26-Apr
Nebraska,3028,56,,26-Apr
Nevada,4734,206,,26-Apr
New Hampshire,1864,60,777,26-Apr
New Jersey,109038,5938,,26-Apr
New Mexico,2726,99,614,26-Apr
New York,288045,22269,23887,26-Apr
North Carolina,8997,324,,26-Apr
North Dakota,867,17,326,26-Apr
Northern Mariana Islands,14,2,11,26-Apr
Ohio,15972,728,,26-Apr
Oklahoma,3254,195,2139,26-Apr
Oregon,2311,92,,26-Apr
Pennsylvania,42616,1816,,26-Apr
Puerto Rico,1371,84,,26-Apr
Rhode Island,7439,226,433,26-Apr
South Carolina,5498,174,3701,26-Apr
South Dakota,2212,11,1257,26-Apr
Tennessee,9667,181,4527,26-Apr
Texas,24967,651,10763,26-Apr
Utah,4123,41,1568,26-Apr
Vermont,851,46,,26-Apr
Virgin Islands,57,4,51,26-Apr
Virginia,12970,449,1815,26-Apr
Washington,13521,749,,26-Apr
West Virginia,1055,34,455,26-Apr
Wisconsin,5912,272,,26-Apr
Wyoming,502,7,334,26-Apr
Recovered,0,0,106988,26-Apr
Alabama,6539,228,,27-Apr
Alaska,345,9,218,27-Apr
American Samoa,0,0,,27-Apr
Arizona,6725,275,1418,27-Apr
Arkansas,3069,51,987,27-Apr
California,44966,1779,,27-Apr
Colorado,13879,706,2150,27-Apr
Connecticut,25997,2012,,27-Apr
Delaware,4162,125,996,27-Apr
Diamond Princess,49,0,0,27-Apr
District of Columbia,3892,185,659,27-Apr
Florida,32138,1088,,27-Apr
Georgia,24302,995,,27-Apr
Grand Princess,103,3,0,27-Apr
Guam,141,5,128,27-Apr
Hawaii,607,16,488,27-Apr
Idaho,1897,56,983,27-Apr
Illinois,45883,1983,,27-Apr
Indiana,15961,844,,27-Apr
Iowa,5868,127,2021,27-Apr
Kansas,3473,126,,27-Apr
Kentucky,4156,213,1511,27-Apr
Louisiana,27068,1740,17303,27-Apr
Maine,1023,51,549,27-Apr
Maryland,19487,945,1263,27-Apr
Massachusetts,56462,3003,,27-Apr
Michigan,38210,3407,8342,27-Apr
Minnesota,3811,286,1842,27-Apr
Mississippi,6094,229,,27-Apr
Missouri,7305,343,,27-Apr
Montana,449,14,352,27-Apr
Nebraska,3358,56,,27-Apr
Nevada,4700,206,,27-Apr
New Hampshire,1938,60,779,27-Apr
New Jersey,111188,6044,,27-Apr
New Mexico,2825,99,650,27-Apr
New York,291996,22668,23887,27-Apr
North Carolina,9428,340,,27-Apr
North Dakota,942,19,350,27-Apr
Northern Mariana Islands,14,2,11,27-Apr
Ohio,16325,753,,27-Apr
Oklahoma,3281,197,2167,27-Apr
Oregon,2354,92,,27-Apr
Pennsylvania,43558,1886,,27-Apr
Puerto Rico,1389,84,,27-Apr
Rhode Island,7708,233,452,27-Apr
South Carolina,5613,177,3701,27-Apr
South Dakota,2244,11,1316,27-Apr
Tennessee,9918,184,4720,27-Apr
Texas,25321,666,11170,27-Apr
Utah,4236,41,1641,27-Apr
Vermont,855,47,,27-Apr
Virgin Islands,57,4,51,27-Apr
Virginia,13538,460,1843,27-Apr
Washington,13686,764,,27-Apr
West Virginia,1063,34,455,27-Apr
Wisconsin,6081,281,,27-Apr
Wyoming,520,7,342,27-Apr
Recovered,0,0,111424,27-Apr
Alabama,6750,242,,28-Apr
Alaska,351,9,228,28-Apr
American Samoa,0,0,,28-Apr
Arizona,6955,275,1450,28-Apr
Arkansas,3127,57,1146,28-Apr
California,46164,1864,,28-Apr
Colorado,14316,736,2275,28-Apr
Connecticut,26312,2087,,28-Apr
Delaware,4575,137,1096,28-Apr
Diamond Princess,49,0,0,28-Apr
District of Columbia,3994,190,660,28-Apr
Florida,32848,1171,,28-Apr
Georgia,24922,1036,,28-Apr
Grand Princess,103,3,0,28-Apr
Guam,141,5,129,28-Apr
Hawaii,609,16,493,28-Apr
Idaho,1952,60,1039,28-Apr
Illinois,48102,2125,,28-Apr
Indiana,16588,901,,28-Apr
Iowa,6376,136,2164,28-Apr
Kansas,3652,127,,28-Apr
Kentucky,4375,225,1521,28-Apr
Louisiana,27286,1801,17303,28-Apr
Maine,1040,51,585,28-Apr
Maryland,20113,1016,1295,28-Apr
Massachusetts,58302,3153,,28-Apr
Michigan,39262,3568,8342,28-Apr
Minnesota,4181,301,1912,28-Apr
Mississippi,6342,239,,28-Apr
Missouri,7450,330,,28-Apr
Montana,451,15,356,28-Apr
Nebraska,3517,56,,28-Apr
Nevada,4821,219,,28-Apr
New Hampshire,2010,60,798,28-Apr
New Jersey,113856,6442,15642,28-Apr
New Mexico,2974,105,666,28-Apr
New York,295106,22912,51630,28-Apr
North Carolina,9755,363,,28-Apr
North Dakota,991,19,409,28-Apr
Northern Mariana Islands,14,2,12,28-Apr
Ohio,16769,799,,28-Apr
Oklahoma,3410,207,2260,28-Apr
Oregon,2385,99,,28-Apr
Pennsylvania,45137,2046,,28-Apr
Puerto Rico,1400,86,,28-Apr
Rhode Island,7927,239,466,28-Apr
South Carolina,5735,192,2830,28-Apr
South Dakota,2313,11,1392,28-Apr
Tennessee,10052,188,4921,28-Apr
Texas,26357,719,11786,28-Apr
Utah,4345,41,1704,28-Apr
Vermont,862,47,,28-Apr
Virgin Islands,57,4,51,28-Apr
Virginia,14339,492,1914,28-Apr
Washington,13842,786,,28-Apr
West Virginia,1095,38,481,28-Apr
Wisconsin,6289,300,,28-Apr
Wyoming,536,7,343,28-Apr
Recovered,0,0,115936,28-Apr
Alabama,6912,256,,29-Apr
Alaska,355,9,240,29-Apr
American Samoa,0,0,,29-Apr
Arizona,7209,308,1475,29-Apr
Arkansas,3193,57,1249,29-Apr
California,48747,1946,,29-Apr
Colorado,14758,766,2275,29-Apr
Connecticut,26767,2169,,29-Apr
Delaware,4655,144,1173,29-Apr
Diamond Princess,49,0,0,29-Apr
District of Columbia,4106,205,660,29-Apr
Florida,33193,1218,,29-Apr
Georgia,25775,1101,,29-Apr
Grand Princess,103,3,0,29-Apr
Guam,141,5,130,29-Apr
Hawaii,613,16,505,29-Apr
Idaho,1952,60,1087,29-Apr
Illinois,50358,2215,,29-Apr
Indiana,17182,964,,29-Apr
Iowa,6843,148,2428,29-Apr
Kansas,3839,134,266,29-Apr
Kentucky,4537,234,1617,29-Apr
Louisiana,27660,1845,17303,29-Apr
Maine,1056,52,615,29-Apr
Maryland,20849,1078,1361,29-Apr
Massachusetts,60265,3405,,29-Apr
Michigan,40399,3670,8342,29-Apr
Minnesota,4644,319,2043,29-Apr
Mississippi,6569,250,3413,29-Apr
Missouri,7660,338,,29-Apr
Montana,451,16,382,29-Apr
Nebraska,3851,56,,29-Apr
Nevada,4934,230,100,29-Apr
New Hampshire,2058,60,936,29-Apr
New Jersey,116365,6771,15642,29-Apr
New Mexico,3213,112,705,29-Apr
New York,299691,23477,53238,29-Apr
North Carolina,10180,382,,29-Apr
North Dakota,1033,19,437,29-Apr
Northern Mariana Islands,14,2,12,29-Apr
Ohio,17303,937,,29-Apr
Oklahoma,3473,214,2319,29-Apr
Oregon,2446,101,,29-Apr
Pennsylvania,46327,2373,,29-Apr
Puerto Rico,1433,86,,29-Apr
Rhode Island,8247,251,391,29-Apr
South Carolina,5882,231,3252,29-Apr
South Dakota,2373,13,1492,29-Apr
Tennessee,10366,195,5140,29-Apr
Texas,27257,754,12507,29-Apr
Utah,4497,45,1790,29-Apr
Vermont,862,47,,29-Apr
Virgin Islands,57,4,51,29-Apr
Virginia,14962,522,2042,29-Apr
Washington,14070,801,,29-Apr
West Virginia,1110,38,504,29-Apr
Wisconsin,6520,308,,29-Apr
Wyoming,545,7,362,29-Apr
Recovered,0,0,120720,29-Apr
Alabama,7088,272,0,30-Apr
Alaska,355,9,252,30-Apr
American Samoa,0,0,0,30-Apr
Arizona,7655,320,1499,30-Apr
Arkansas,3281,61,1305,30-Apr
California,50130,2031,0,30-Apr
Colorado,15284,777,2415,30-Apr
Connecticut,27700,2257,0,30-Apr
Delaware,4734,152,1275,30-Apr
Diamond Princess,49,0,0,30-Apr
District of Columbia,4323,224,660,30-Apr
Florida,33690,1268,0,30-Apr
Georgia,26264,1132,0,30-Apr
Grand Princess,103,3,0,30-Apr
Guam,145,5,131,30-Apr
Hawaii,618,16,516,30-Apr
Idaho,1984,60,1121,30-Apr
Illinois,52918,2355,0,30-Apr
Indiana,17835,1114,0,30-Apr
Iowa,7145,162,2697,30-Apr
Kansas,4413,134,272,30-Apr
Kentucky,4708,240,1668,30-Apr
Louisiana,28001,1905,17303,30-Apr
Maine,1095,53,631,30-Apr
Maryland,21742,1140,1432,30-Apr
Massachusetts,62205,3562,0,30-Apr
Michigan,41379,3789,8342,30-Apr
Minnesota,5136,343,2172,30-Apr
Mississippi,6815,261,3413,30-Apr
Missouri,7818,350,0,30-Apr
Montana,453,16,392,30-Apr
Nebraska,4281,70,0,30-Apr
Nevada,5053,243,158,30-Apr
New Hampshire,2146,72,980,30-Apr
New Jersey,118652,7228,15642,30-Apr
New Mexico,3411,123,734,30-Apr
New York,304372,23587,54771,30-Apr
North Carolina,10754,406,0,30-Apr
North Dakota,1067,19,458,30-Apr
Northern Mariana Islands,14,2,12,30-Apr
Ohio,18027,976,0,30-Apr
Oklahoma,3618,222,2401,30-Apr
Oregon,2510,103,0,30-Apr
Pennsylvania,47971,2475,0,30-Apr
Puerto Rico,1539,92,0,30-Apr
Rhode Island,8621,266,461,30-Apr
South Carolina,6095,244,3252,30-Apr
South Dakota,2449,17,1573,30-Apr
Tennessee,10735,199,5140,30-Apr
Texas,28727,812,12507,30-Apr
Utah,4672,46,1939,30-Apr
Vermont,866,49,0,30-Apr
Virgin Islands,66,4,51,30-Apr
Virginia,15847,552,2104,30-Apr
Washington,14327,814,0,30-Apr
West Virginia,1125,41,545,30-Apr
Wisconsin,6854,316,3352,30-Apr
Wyoming,559,7,371,30-Apr
Alabama,7294,289,0,1-May
Alaska,364,9,254,1-May
American Samoa,0,0,0,1-May
Arizona,7969,330,1528,1-May
Arkansas,3337,64,1973,1-May
California,52026,2126,0,1-May
Colorado,15793,821,2486,1-May
Connecticut,28764,2339,4346,1-May
Delaware,4918,159,1403,1-May
Diamond Princess,49,0,0,1-May
District of Columbia,4658,231,666,1-May
Florida,34728,1314,0,1-May
Georgia,27489,1169,0,1-May
Grand Princess,103,3,0,1-May
Guam,145,5,131,1-May
Hawaii,619,16,526,1-May
Idaho,2015,63,1175,1-May
Illinois,56055,2457,0,1-May
Indiana,18630,1175,0,1-May
Iowa,7884,170,2899,1-May
Kansas,4634,140,280,1-May
Kentucky,4882,246,1675,1-May
Louisiana,28711,1970,17303,1-May
Maine,1123,55,657,1-May
Maryland,23472,1080,1517,1-May
Massachusetts,64311,3716,0,1-May
Michigan,42356,3866,8342,1-May
Minnesota,5730,370,2282,1-May
Mississippi,7212,281,3413,1-May
Missouri,8067,360,0,1-May
Montana,453,16,397,1-May
Nebraska,5008,73,0,1-May
Nevada,5248,246,182,1-May
New Hampshire,2310,81,980,1-May
New Jersey,121190,7538,15642,1-May
New Mexico,3513,131,760,1-May
New York,308314,24039,56187,1-May
North Carolina,11070,419,0,1-May
North Dakota,1107,23,482,1-May
Northern Mariana Islands,14,2,12,1-May
Ohio,18743,1003,0,1-May
Oklahoma,3748,230,2467,1-May
Oregon,2579,104,0,1-May
Pennsylvania,49579,2635,0,1-May
Puerto Rico,1575,94,0,1-May
Rhode Island,8962,279,485,1-May
South Carolina,6258,256,3622,1-May
South Dakota,2525,21,1686,1-May
Tennessee,11891,204,5546,1-May
Texas,29692,840,14122,1-May
Utah,4828,46,2062,1-May
Vermont,879,50,0,1-May
Virgin Islands,66,4,51,1-May
Virginia,16902,581,2196,1-May
Washington,14637,824,0,1-May
West Virginia,1152,46,555,1-May
Wisconsin,7314,327,3352,1-May
Wyoming,566,7,373,1-May